Date,Open,High,Low,Close,Volume,Adj Close
2010-04-16,68.12,68.70,67.71,67.93,33855100,67.93
2010-04-15,68.50,68.72,68.15,68.26,16712900,68.26
2010-04-14,68.72,68.82,68.36,68.61,18777800,68.61
2010-04-13,68.47,68.76,68.07,68.66,19177100,68.66
2010-04-12,68.80,69.05,68.58,68.71,18170300,68.71
2010-04-09,68.11,68.98,68.07,68.76,21099600,68.76
2010-04-08,67.01,68.22,66.85,67.86,24060800,67.86
2010-04-07,67.83,67.85,66.97,67.34,24531500,67.34
2010-04-06,67.99,68.35,67.80,67.90,19776800,67.90
2010-04-05,67.84,68.36,67.72,68.19,20901100,68.19
2010-04-01,67.27,67.80,67.19,67.61,19614700,67.61
2010-03-31,66.94,67.19,66.60,66.98,22352500,66.98
2010-03-30,67.19,67.30,66.79,67.05,17745900,67.05
2010-03-29,66.66,67.48,66.59,67.30,26122200,67.30
2010-03-26,66.44,66.88,66.17,66.54,30553400,66.54
2010-03-25,66.81,66.92,66.24,66.30,21095600,66.30
2010-03-24,66.57,66.86,66.23,66.50,19748800,66.50
2010-03-23,66.94,66.98,66.45,66.95,24754700,66.95
2010-03-22,66.49,67.20,66.32,66.97,21390600,66.97
2010-03-19,67.84,67.89,66.43,67.04,45559600,67.04
2010-03-18,67.50,67.74,67.01,67.39,25925500,67.39
2010-03-17,66.91,67.79,66.80,67.36,38770000,67.36
2010-03-16,66.55,66.68,66.00,66.57,35103700,66.57
2010-03-15,66.67,66.69,65.90,66.30,22070000,66.30
2010-03-12,67.58,67.58,66.50,66.80,23361800,66.80
2010-03-11,67.39,67.56,66.98,67.22,19357400,67.22
2010-03-10,67.16,67.42,66.78,67.22,24810300,67.22
2010-03-09,66.32,67.19,66.22,66.78,29003100,66.78
2010-03-08,66.77,66.79,66.23,66.48,20297200,66.48
2010-03-05,65.96,66.52,65.78,66.47,26837900,66.47
2010-03-04,65.35,65.63,65.08,65.40,21961100,65.40
2010-03-03,65.77,65.97,65.38,65.43,22279800,65.43
2010-03-02,65.66,65.79,65.15,65.49,24823900,65.49
2010-03-01,65.36,65.54,65.09,65.40,18798600,65.40
2010-02-26,65.26,65.40,64.92,65.00,20129700,65.00
2010-02-25,64.61,65.17,64.37,65.14,25668800,65.14
2010-02-24,65.01,65.87,64.77,65.55,21469600,65.55
2010-02-23,65.26,65.56,64.15,64.94,33372900,64.94
2010-02-22,66.10,66.12,65.25,65.40,20469700,65.40
2010-02-19,65.59,66.24,65.43,65.87,24264600,65.87
2010-02-18,65.80,66.09,65.35,65.96,22536700,65.96
2010-02-17,66.34,66.45,65.57,65.76,21821800,65.76
2010-02-16,65.44,66.38,65.08,66.28,30514900,66.28
2010-02-12,64.62,65.14,64.28,64.80,30636200,64.80
2010-02-11,64.69,65.48,64.41,65.24,23555200,65.24
2010-02-10,65.08,65.22,64.16,64.85,21699100,64.85
2010-02-09,65.11,65.71,64.56,65.20,36243300,65.20
2010-02-08,64.91,65.49,64.34,64.35,30519400,64.35
2010-02-05,64.70,64.90,63.56,64.80,42297500,64.38
2010-02-04,66.27,66.35,64.68,64.72,33858200,64.30
2010-02-03,66.88,67.23,66.56,66.60,24024700,66.17
2010-02-02,66.73,67.12,66.47,66.96,34057900,66.53
2010-02-01,65.77,66.41,65.35,66.18,37703000,65.75
2010-01-29,65.15,65.82,64.02,64.43,40880500,64.01
2010-01-28,65.85,65.85,64.57,64.96,37349800,64.54
2010-01-27,65.66,66.06,65.00,65.54,35723500,65.12
2010-01-26,65.64,66.74,65.50,65.92,34083300,65.49
2010-01-25,66.55,66.76,65.69,65.85,29305100,65.42
2010-01-22,66.52,67.14,66.00,66.10,39085500,65.67
2010-01-21,68.12,68.15,66.50,66.70,39114000,66.27
2010-01-20,68.56,68.66,67.93,68.03,34629500,67.59
2010-01-19,68.74,69.35,68.42,69.27,26081900,68.82
2010-01-15,69.65,69.69,68.65,69.11,29411900,68.66
2010-01-14,69.54,69.74,69.35,69.68,18630800,69.23
2010-01-13,69.96,70.04,69.26,69.67,24884400,69.22
2010-01-12,69.72,69.99,69.52,69.95,31496700,69.50
2010-01-11,69.94,70.52,69.65,70.30,30685000,69.84
2010-01-08,69.69,69.75,69.22,69.52,24891800,69.07
2010-01-07,69.90,70.06,69.42,69.80,27192100,69.35
2010-01-06,69.45,70.60,69.34,70.02,35044700,69.57
2010-01-05,69.19,69.45,68.80,69.42,30174700,68.97
2010-01-04,68.72,69.26,68.19,69.15,27809100,68.70
2009-12-31,68.84,68.86,68.11,68.19,18852300,67.75
2009-12-30,68.71,68.96,68.39,68.77,19860600,68.32
2009-12-29,69.28,69.40,68.80,68.84,19985700,68.39
2009-12-28,69.08,69.12,68.74,69.08,19694600,68.63
2009-12-24,68.35,68.75,68.16,68.66,8149200,68.21
2009-12-23,68.75,68.78,68.20,68.26,18958900,67.82
2009-12-22,68.62,69.21,68.50,68.57,27941800,68.13
2009-12-21,68.47,68.75,68.22,68.51,34470100,68.07
2009-12-18,68.56,68.80,67.64,68.21,62989400,67.77
2009-12-17,68.36,68.86,68.13,68.22,46627000,67.78
